device,tstamp,dstamp,CurrL1_A,CurrL2_A,CurrL3_A,ActPow_kW,AppPow_kVA,ReacPow_kvar,Energy_kWh,VolL1_V,VolL2_V,VolL3_V,THDUL1,THDUL2,THDUL3,THDIL1,THDIL2,THDIL3,cosphi
Master,2025-05-16 19:15:34,20:14 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,449.44,385.14,420.32,\N,\N,\N,1
ParqueExterior,2025-05-16 19:15:34,20:14/ 16.05.2025 (UTC 2),61.28,62.88,64.01,44.55,44.9,\N,251777,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:15:34,20:14/ 16.05.2025 (UTC 2),236.75,233.16,245.07,169.65,170.58,\N,2325960,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:15:34,20:14/ 16.05.2025 (UTC 2),43.31,35.03,26.32,24.23,24.98,\N,454660,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:15:34,20:14/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:15:35,20:14/ 16.05.2025 (UTC 2),19.73,18.66,18.41,11.6,13.55,\N,68217.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:16:34,20:15/ 16.05.2025 (UTC 2),50.22,50.9,52.94,36.44,36.74,\N,251778,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:16:34,20:15/ 16.05.2025 (UTC 2),19.68,18.54,18.39,11.55,13.5,\N,68218.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:16:34,20:15/ 16.05.2025 (UTC 2),227.2,220.97,235.29,162.18,163.07,\N,2325970,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:16:34,20:15/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:16:34,20:15/ 16.05.2025 (UTC 2),42.83,35.25,26.77,24.26,25.01,\N,454660,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:16:35,20:15 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,456.07,328.3,340.95,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:17:34,20:16/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:17:34,20:16/ 16.05.2025 (UTC 2),42.91,35.33,26.64,24.28,25.03,\N,454661,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:17:34,20:16 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,380.79,310.91,418.33,\N,\N,\N,1
ParqueExterior,2025-05-16 19:17:34,20:16/ 16.05.2025 (UTC 2),46.33,47.27,49.22,33.77,34.07,\N,251778,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:17:34,20:16/ 16.05.2025 (UTC 2),20.22,19.14,18.97,12.04,13.92,\N,68218.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:17:34,20:16/ 16.05.2025 (UTC 2),227.13,218.97,229.58,160.3,161.14,\N,2325970,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:18:34,20:17 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,400,393.7,412.31,\N,\N,\N,1
ParqueExterior,2025-05-16 19:18:34,20:17/ 16.05.2025 (UTC 2),43.32,43.85,45.67,31.41,31.7,\N,251779,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:18:34,20:17/ 16.05.2025 (UTC 2),234.83,228.22,239.5,164.77,167.41,\N,2325970,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:18:34,20:17/ 16.05.2025 (UTC 2),61.69,58.79,46.5,31.82,40.83,\N,454661,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:18:34,20:17/ 16.05.2025 (UTC 2),20.02,18.83,18.71,11.83,13.71,\N,68218.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:18:34,20:17/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:19:34,20:18 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,444.97,300,395.81,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:19:34,20:18/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:19:34,20:18/ 16.05.2025 (UTC 2),19.91,18.8,18.64,11.78,13.69,\N,68218.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:19:34,20:18/ 16.05.2025 (UTC 2),210.63,201.49,214.76,148.76,149.61,\N,2325970,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:19:34,20:18/ 16.05.2025 (UTC 2),38.53,31.91,24.17,22.13,22.59,\N,454662,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:19:34,20:18/ 16.05.2025 (UTC 2),35.61,36.29,38.11,25.83,26.26,\N,251779,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:20:34,20:19/ 16.05.2025 (UTC 2),33.1,33.51,35.43,23.91,24.35,\N,251780,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:20:34,20:19/ 16.05.2025 (UTC 2),206.2,198.55,212.31,146.36,147.2,\N,2325980,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:20:34,20:19/ 16.05.2025 (UTC 2),20.48,19.33,19.19,12.25,14.08,\N,68218.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:20:34,20:19/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:20:34,20:19/ 16.05.2025 (UTC 2),38.4,31.87,23.9,22.02,22.48,\N,454662,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:20:34,20:19 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,430.12,343.19,418.33,\N,\N,\N,1
ParqueExterior,2025-05-16 19:21:34,20:20/ 16.05.2025 (UTC 2),33.03,33.83,35.68,24.09,24.5,\N,251780,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:21:34,20:20/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:21:34,20:20/ 16.05.2025 (UTC 2),19.98,18.88,18.7,11.84,13.75,\N,68219.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:21:34,20:20/ 16.05.2025 (UTC 2),205.61,198.82,217.11,147.64,148.53,\N,2325980,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:21:34,20:20/ 16.05.2025 (UTC 2),36.33,31.83,25.8,21.97,22.46,\N,454663,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:21:34,20:20 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,408.25,420.32,406.2,\N,\N,\N,1
Master,2025-05-16 19:22:34,20:21 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,353.55,428.95,420.32,\N,\N,\N,1
TorreLidador,2025-05-16 19:22:34,20:21/ 16.05.2025 (UTC 2),219.99,215.64,232.5,157.6,159.51,\N,2325980,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:22:34,20:21/ 16.05.2025 (UTC 2),34.79,30.37,25.58,21.17,21.67,\N,454663,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:22:34,20:21/ 16.05.2025 (UTC 2),20.12,19.01,18.86,11.96,13.84,\N,68219.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:22:34,20:21/ 16.05.2025 (UTC 2),33.08,33.54,35.65,23.97,24.42,\N,251780,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:22:34,20:21/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:23:34,20:22/ 16.05.2025 (UTC 2),36.83,28.92,24.17,20.96,21.46,\N,454663,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:23:34,20:22 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,414.33,410.28,424.26,\N,\N,\N,1
ParqueInterior,2025-05-16 19:23:34,20:22/ 16.05.2025 (UTC 2),20.76,19.6,19.43,12.07,13.92,\N,68219.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:23:34,20:22/ 16.05.2025 (UTC 2),227.09,218.48,233.47,159.91,161.84,\N,2325980,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:23:34,20:22/ 16.05.2025 (UTC 2),33.11,33.67,35.42,23.94,24.39,\N,251781,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:23:35,20:22/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:24:34,20:23/ 16.05.2025 (UTC 2),20.19,19.08,18.87,12,13.86,\N,68219.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:24:34,20:23/ 16.05.2025 (UTC 2),32.83,33.69,35.3,23.8,24.28,\N,251781,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:24:34,20:23/ 16.05.2025 (UTC 2),224.96,219.21,232.96,159.57,161.46,\N,2325990,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:24:34,20:23/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:24:34,20:23/ 16.05.2025 (UTC 2),36.48,28.95,24.23,20.89,21.39,\N,454664,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:24:34,20:23 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,410.28,426.22,339.93,\N,\N,\N,1
Master,2025-05-16 19:25:34,20:24 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,408.25,410.28,290.12,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:25:34,20:24/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:25:34,20:24/ 16.05.2025 (UTC 2),33.34,33.63,35.72,24.08,24.53,\N,251782,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:25:34,20:24/ 16.05.2025 (UTC 2),40.44,32.9,27.85,23.38,24.16,\N,454664,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:25:34,20:24/ 16.05.2025 (UTC 2),15.47,14.28,14.2,6.19,10.49,\N,68219.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:25:34,20:24/ 16.05.2025 (UTC 2),199.97,193.59,215.95,144.58,145.57,\N,2325990,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:26:34,20:25/ 16.05.2025 (UTC 2),9.37,8.27,8.28,0.8,6.12,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:26:34,20:25/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:26:34,20:25/ 16.05.2025 (UTC 2),32.67,33.57,35.98,23.89,24.39,\N,251782,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:26:34,20:25 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,412.31,393.7,292.97,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 19:26:34,20:25/ 16.05.2025 (UTC 2),36.84,29.67,24.18,21.1,21.64,\N,454664,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:26:34,20:25/ 16.05.2025 (UTC 2),257.71,257.14,270.6,180.08,186.95,\N,2325990,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:27:34,20:26 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,389.44,389.44,382.97,\N,\N,\N,1
TorreLidador,2025-05-16 19:27:34,20:26/ 16.05.2025 (UTC 2),184.93,190.59,195.68,135.23,136.3,\N,2326000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:27:34,20:26/ 16.05.2025 (UTC 2),33.21,34.09,36.01,24.16,24.65,\N,251782,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:27:34,20:26/ 16.05.2025 (UTC 2),36.82,31.76,24.13,21.52,22.12,\N,454665,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:27:34,20:26/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:27:34,20:26/ 16.05.2025 (UTC 2),9.23,8.25,8.22,1.24,6.13,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:28:34,20:27 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,410.28,400,343.19,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 19:28:34,20:27/ 16.05.2025 (UTC 2),36.67,31.62,28.72,22.61,23.14,\N,454665,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:28:34,20:27/ 16.05.2025 (UTC 2),9.1,8.15,8.17,0.77,6.06,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:28:34,20:27/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:28:34,20:27/ 16.05.2025 (UTC 2),33.18,33.54,36.13,24.09,24.54,\N,251783,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:28:34,20:27/ 16.05.2025 (UTC 2),185.12,187.93,194.71,134.46,135.44,\N,2326000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:29:34,20:28 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,382.97,504.98,422.3,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:29:34,20:28/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:29:34,20:28/ 16.05.2025 (UTC 2),33.24,33.49,35.73,24.07,24.51,\N,251783,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:29:34,20:28/ 16.05.2025 (UTC 2),183.93,184.36,197.92,134.3,135.27,\N,2326000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:29:34,20:28/ 16.05.2025 (UTC 2),36.99,31.48,22.54,21.19,21.77,\N,454665,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:29:34,20:28/ 16.05.2025 (UTC 2),9.16,8.17,8.19,0.88,6.1,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:30:34,20:29/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:30:34,20:29 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.08,0.12,0.11,382.97,336.65,391.58,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 19:30:34,20:29/ 16.05.2025 (UTC 2),36.98,29.13,22.62,20.75,21.21,\N,454666,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:30:34,20:29/ 16.05.2025 (UTC 2),183.96,181.04,193.1,132.37,133.28,\N,2326000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:30:34,20:29/ 16.05.2025 (UTC 2),32.96,33.3,35.54,23.89,24.34,\N,251784,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:30:34,20:29/ 16.05.2025 (UTC 2),9.25,8.28,8.22,1.29,6.15,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:31:34,20:30 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,391.58,402.08,389.44,\N,\N,\N,1
PaÃ§osConcelho,2025-05-16 19:31:34,20:30/ 16.05.2025 (UTC 2),40.64,32.47,26.46,22.94,23.79,\N,454666,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:31:34,20:30/ 16.05.2025 (UTC 2),33.18,33.71,35.83,24.05,24.53,\N,251784,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:31:34,20:30/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:31:34,20:30/ 16.05.2025 (UTC 2),186.15,184.26,195.78,134.14,135.22,\N,2326000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:31:34,20:30/ 16.05.2025 (UTC 2),9.26,8.27,8.24,1.29,6.16,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:32:34,20:31/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:32:34,20:31/ 16.05.2025 (UTC 2),186.43,184.3,196,134.4,135.44,\N,2326010,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:32:34,20:31/ 16.05.2025 (UTC 2),9.24,8.26,8.22,0.95,6.08,\N,68220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:32:34,20:31/ 16.05.2025 (UTC 2),40.57,32.83,26.24,22.96,23.78,\N,454667,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:32:34,20:31/ 16.05.2025 (UTC 2),33.04,33.97,35.93,24.08,24.56,\N,251784,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:32:34,20:31 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,412.31,333.33,410.28,\N,\N,\N,1
Master,2025-05-16 19:33:34,20:32 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,400,385.14,346.41,\N,\N,\N,1
ParqueInterior,2025-05-16 19:33:34,20:32/ 16.05.2025 (UTC 2),9.27,8.25,8.25,1.29,6.15,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:33:34,20:32/ 16.05.2025 (UTC 2),202.64,203.47,216.69,146.23,148.77,\N,2326010,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:33:34,20:32/ 16.05.2025 (UTC 2),40.65,32.88,26.62,23.12,23.93,\N,454667,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:33:34,20:32/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:33:34,20:32/ 16.05.2025 (UTC 2),32.98,33.65,35.58,23.92,24.42,\N,251785,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:34:34,20:33/ 16.05.2025 (UTC 2),41.41,33,24.47,22.86,23.61,\N,454667,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:34:34,20:33/ 16.05.2025 (UTC 2),9.1,8.16,8.14,0.78,6.06,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:34:34,20:33/ 16.05.2025 (UTC 2),33,33.76,35.59,23.94,24.43,\N,251785,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:34:34,20:33/ 16.05.2025 (UTC 2),211.18,214.13,225.35,152.06,155.28,\N,2326010,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:34:34,20:33/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:34:34,20:33 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,402.08,400,378.59,\N,\N,\N,1
Master,2025-05-16 19:35:34,20:34 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,374.17,310.91,412.31,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:35:34,20:34/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:35:34,20:34/ 16.05.2025 (UTC 2),9.13,8.2,8.16,0.79,6.1,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:35:34,20:34/ 16.05.2025 (UTC 2),177.16,179.72,208.32,134.27,135.21,\N,2326010,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:35:34,20:34/ 16.05.2025 (UTC 2),33.03,33.69,51.17,27.77,28.18,\N,251786,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:35:34,20:34/ 16.05.2025 (UTC 2),32.57,26.09,20.38,18.54,18.91,\N,454668,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:36:34,20:35 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.11,395.81,416.33,402.08,\N,\N,\N,1
InformÃ¡tica,2025-05-16 19:36:34,20:35/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:36:34,20:35/ 16.05.2025 (UTC 2),28.82,26.11,20.09,17.56,17.94,\N,454668,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:36:34,20:35/ 16.05.2025 (UTC 2),9.26,8.27,8.24,1.28,6.16,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:36:34,20:35/ 16.05.2025 (UTC 2),169.07,175.01,203.6,130.08,130.92,\N,2326020,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:36:34,20:35/ 16.05.2025 (UTC 2),30.96,31.74,49.1,26.33,26.72,\N,251786,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:37:34,20:36 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,444.97,336.65,404.15,\N,\N,\N,1
ParqueInterior,2025-05-16 19:37:34,20:36/ 16.05.2025 (UTC 2),9.13,8.2,8.16,0.97,6.12,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:37:34,20:36/ 16.05.2025 (UTC 2),27.13,26.53,19.83,17.18,17.58,\N,454668,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:37:34,20:36/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueExterior,2025-05-16 19:37:34,20:36/ 16.05.2025 (UTC 2),30.8,31.93,48.99,26.27,26.7,\N,251786,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:37:34,20:36/ 16.05.2025 (UTC 2),167.91,181.18,201.91,130.64,131.49,\N,2326020,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:38:34,20:37 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.12,0.12,458.26,291.55,416.33,\N,\N,\N,1
ParqueExterior,2025-05-16 19:38:34,20:37/ 16.05.2025 (UTC 2),29,29.98,47.34,24.98,25.37,\N,251787,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ParqueInterior,2025-05-16 19:38:34,20:37/ 16.05.2025 (UTC 2),9.23,8.25,8.21,1.24,6.13,\N,68220.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
TorreLidador,2025-05-16 19:38:34,20:37/ 16.05.2025 (UTC 2),167.12,173.86,201.43,128.57,129.46,\N,2326020,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
PaÃ§osConcelho,2025-05-16 19:38:34,20:37/ 16.05.2025 (UTC 2),31.11,29.6,21.34,19.11,19.6,\N,454669,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
InformÃ¡tica,2025-05-16 19:38:35,20:37/ 16.05.2025 (UTC 2),0,0,0,0,0,\N,-61.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Master,2025-05-16 19:39:34,20:38 / 16.05.2025 (UTC 2),0,0,0,0,0,0,0,0.07,0.11,0.12,410.28,382.97,410.28,\N,\N,\N,1
ParqueExterior,2025-05-16 19:39:34,20:38/ 16.05.2025 (UTC 2),17.54,17.72,34.73,16.5,16.68,\N,251787,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
